AreaName,PostalStreetName,Location,UnitNumber,ComponentDescription,ColumnName,Network,Northing,Easting
RATHFARNHAM-HERMITAGE,"The Beeches,Barton Avenue",Front,1,55W SOXE,Octagonal,UnderGround,227981.05,314614.336
RATHFARNHAM-HERMITAGE,"The Beeches,Barton Avenue",Cul-de-Sac,2,55W SOXE,Octagonal,UnderGround,227991.222,314582.802
CLONDALKIN-MONASTERY,Bluebell Avenue,Road Train,2,150W SON,Tram Pole,UnderGround,232140.079,309711.178
CLONDALKIN-MONASTERY,Bluebell Avenue,Odearest,3,150W SON,Tram Pole,UnderGround,232172.732,309726.702
CLONDALKIN-MONASTERY,Bluebell Avenue,King Koil,4,150W SON,Tram Pole,UnderGround,232196.545,309742.489
CLONDALKIN-MONASTERY,Bluebell Avenue,CK,5,150W SON,Tram Pole,UnderGround,232224.378,309762.83
CLONDALKIN-MONASTERY,Bluebell Avenue,CK,6,150W SON,Tram Pole,UnderGround,232248.201,309780.762
CLONDALKIN-MONASTERY,Bluebell Avenue,Dolphin,7,150W SON,Tram Pole,UnderGround,232271.754,309797.893
CLONDALKIN-MONASTERY,Bluebell Avenue,Dolphin,8,150W SON,Tram Pole,UnderGround,232297.716,309818.498
CLONDALKIN-MONASTERY,Bluebell Avenue,Colfix,9,150W SON,Tram Pole,UnderGround,232323.409,309837.766
CLONDALKIN-MONASTERY,Bluebell Avenue,A.D.C. Ltd.,10,150W SON,Tram Pole,UnderGround,232344.282,309856.506
CLONDALKIN-MONASTERY,Bluebell Avenue,Colas,11,150W SON,Tram Pole,UnderGround,232365.964,309878.983
CLONDALKIN-MONASTERY,Bluebell Avenue,Maxol,12,150W SON,Tram Pole,UnderGround,232385.236,309906.821
CLONDALKIN-MONASTERY,Bluebell Avenue,Maxol,13,150W SON,Tram Pole,UnderGround,232399.418,309932.779
CLONDALKIN-MONASTERY,Bluebell Avenue,Windsor,14,150W SON,Tram Pole,UnderGround,232411.199,309961.689
TEMPLEOGUE-OSPREY,M50 Redcow R/Bout-N81,Main Road,82,250W SON,Octagonal,UnderGround,229140.221,310678.421
TALLAGHT-TYMON,M50 Redcow R/Bout-N81,Main Road,83,250W SON,Octagonal,UnderGround,229105.967,310651.779
TEMPLEOGUE-OSPREY,M50 Redcow R/Bout-N81,Main Road,84,250W SON,Octagonal,UnderGround,229111.098,310716.85
TALLAGHT-TYMON,M50 Redcow R/Bout-N81,Main Road,85,250W SON,Octagonal,UnderGround,229077.154,310689.647
TEMPLEOGUE-OSPREY,M50 Redcow R/Bout-N81,Main Road,86,250W SON,Octagonal,UnderGround,229080.524,310754.166
TALLAGHT-TYMON,M50 Redcow R/Bout-N81,Main Road,87,250W SON,Octagonal,UnderGround,229048.021,310725.28
TEMPLEOGUE-OSPREY,M50 Redcow R/Bout-N81,Main Road,88,250W SON,Octagonal,UnderGround,229049.951,310789.79
TALLAGHT-TYMON,M50 Redcow R/Bout-N81,Main Road,89,250W SON,Octagonal,UnderGround,229015.527,310762.109
TEMPLEOGUE-OSPREY,M50 Redcow R/Bout-N81,Main Road,90,250W SON,Octagonal,UnderGround,229015.527,310826.141
TALLAGHT-TYMON,M50 Redcow R/Bout-N81,Main Road,91,250W SON,Octagonal,UnderGround,228982.793,310798.459
TEMPLEOGUE-OSPREY,M50 Redcow R/Bout-N81,Main Road,92,250W SON,Octagonal,UnderGround,228983.033,310858.879
TALLAGHT-TYMON,M50 Redcow R/Bout-N81,Main Road,93,250W SON,Octagonal,UnderGround,228949.089,310832.154
TEMPLEOGUE-OSPREY,M50 Redcow R/Bout-N81,Main Road,94,250W SON,Octagonal,UnderGround,228945.959,310894.742
TALLAGHT-TYMON,M50 Redcow R/Bout-N81,Main Road,95,250W SON,Octagonal,UnderGround,228914.906,310863.935
TEMPLEOGUE-OSPREY,M50 Redcow R/Bout-N81,Main Road,96,250W SON,Octagonal,UnderGround,228910.335,310925.558
TALLAGHT-TYMON,M50 Redcow R/Bout-N81,Main Road,97,250W SON,Octagonal,UnderGround,228879.522,310895.708
TEMPLEOGUE-OSPREY,M50 Redcow R/Bout-N81,Main Road,98,250W SON,Octagonal,UnderGround,228871.821,310958.296
TALLAGHT-TYMON,M50 Redcow R/Bout-N81,Main Road,99,250W SON,Octagonal,UnderGround,228841.967,310926.037
TEMPLEOGUE-OSPREY,M50 Redcow R/Bout-N81,Main Road,100,250W SON,Octagonal,UnderGround,228829.456,310990.555
TALLAGHT-TYMON,M50 Redcow R/Bout-N81,Main Road,101,250W SON,Octagonal,UnderGround,228805.383,310954.922
TEMPLEOGUE-OSPREY,M50 Redcow R/Bout-N81,Main Road,102,250W SON,Octagonal,UnderGround,228790.932,311018.27
TALLAGHT-TYMON,M50 Redcow R/Bout-N81,Main Road,103,250W SON,Octagonal,UnderGround,228766.719,310983.396
TEMPLEOGUE-OSPREY,M50 Redcow R/Bout-N81,Main Road,104,250W SON,Octagonal,UnderGround,228753.157,311044.912
TALLAGHT-TYMON,M50 Redcow R/Bout-N81,Main Road,105,250W SON,Octagonal,UnderGround,228730.875,311007.134
TEMPLEOGUE-OSPREY,M50 Redcow R/Bout-N81,Main Road,106,250W SON,Octagonal,UnderGround,228718.283,311066.226
TALLAGHT-TYMON,M50 Redcow R/Bout-N81,Main Road,107,250W SON,Octagonal,UnderGround,228694.061,311030.378
TEMPLEOGUE-OSPREY,M50 Redcow R/Bout-N81,Main Road,108,250W SON,Octagonal,UnderGround,228679.049,311090.443
TALLAGHT-TYMON,M50 Redcow R/Bout-N81,Main Road,109,250W SON,Octagonal,UnderGround,228655.316,311053.63
TEMPLEOGUE-OSPREY,M50 Redcow R/Bout-N81,Main Road,110,400W SON,Octagonal,UnderGround,228624.653,311125.688
TALLAGHT-TYMON,M50 Redcow R/Bout-N81,Main Road,111,400W SON,Octagonal,UnderGround,228611.561,311080.693
TEMPLEOGUE-OSPREY,M50 Redcow R/Bout-N81,Main Road,112,400W SON,Octagonal,UnderGround,228598.64,311136.7
TALLAGHT-TYMON,M50 Redcow R/Bout-N81,Main Road,113,400W SON,Octagonal,UnderGround,228584.098,311094.699
